Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4",0805,3,100nF,C38141
C3,0805,1,4.7μF,C1779
"D1, D14, D16, D18, D5, D6",1210,6,LED RED,C434438
"D10, D3",1210,2,LED BLUE,C434440
"D11, D12, D13, D15, D17, D19, D2, D4, D8",1210,9,LED GREEN,C434442
"D7, D9",1210,2,LED YELLOW,C434441
DS1,WC1602A,1,WC1602A/HD44780,C5307341
J1,PinHeader_2x20_P2.54mm_Vertical,1,Raspberry_Pi_2_3,C5224014
J2,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,C168677
J3,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,C225257
"R1, R10, R11, R12, R2, R20, R21, R22, R23, R24, R25, R26, R3, R4, R5, R6, R7, R8, R9",0805,19,100R,C17408
"R13, R14, R15, R16, R17, R18, R19",0805,7,0R,C304192
R27,0805,1,1kR,C17513
RV1,Potentiometer_Bourns_3314J_Vertical,1,R_Potentiometer,C36376
"SW1, SW2",SW_PUSH_6mm_H5mm,2,SW_Push,C428628
U1,LQFP-64_10x10mm_P0.5mm,1,STM32G070RBTx,C529340
