Designator,Mid X,Mid Y,Rotation,Layer
C1,33.02,-70.75,270.0,top
C2,33.02,-66.04,90.0,top
C3,29.675,-70.75,270.0,top
C4,31.5175,-75.0,180.0,top
D1,28.0,-39.0,0.0,top
D10,105.0,-45.0,0.0,top
D11,5.0,-75.0,180.0,top
D12,5.0,-80.0,180.0,top
D13,5.0,-85.0,180.0,top
D14,142.0,-14.0,0.0,top
D15,142.0,-19.0,0.0,top
D16,142.0,-37.0,0.0,top
D17,142.0,-32.0,0.0,top
D18,130.0,-58.0,0.0,top
D19,130.0,-53.0,0.0,top
D2,28.0,-34.0,0.0,top
D3,28.0,-29.0,0.0,top
D4,77.0,-32.0,0.0,top
D5,77.0,-37.0,0.0,top
D6,105.0,-25.0,0.0,top
D7,105.0,-30.0,0.0,top
D8,105.0,-35.0,0.0,top
D9,105.0,-40.0,0.0,top
DS1,87.50052,-65.9993,0.0,top
FID1,8.0,-4.0,0.0,top
FID2,8.0,-96.0,0.0,top
FID3,152.0,-4.0,0.0,top
J1,19.6,-92.54,90.0,top
J2,60.0,-74.0,270.0,top
J3,17.0,-74.08,180.0,top
R1,37.0,-54.0,90.0,top
R10,33.0,-54.0,90.0,top
R11,10.0,-75.0,180.0,top
R12,10.0,-80.0,180.0,top
R13,35.0,-85.0,270.0,top
R14,39.0,-85.0,270.0,top
R15,43.0,-85.0,270.0,top
R16,19.0,-85.0,90.0,top
R17,23.0,-85.0,90.0,top
R18,27.0,-85.0,270.0,top
R19,31.0,-85.0,270.0,top
R2,41.0,-54.0,90.0,top
R20,10.0,-85.0,180.0,top
R21,66.0,-55.0,0.0,top
R22,66.0,-59.0,0.0,top
R23,66.0,-67.0,0.0,top
R24,66.0,-63.0,0.0,top
R25,66.0,-75.0,0.0,top
R26,66.0,-71.0,0.0,top
R27,13.0,-54.0,90.0,top
R3,45.0,-54.0,90.0,top
R4,49.0,-54.0,90.0,top
R5,53.0,-54.0,90.0,top
R6,25.0,-54.0,90.0,top
R7,21.0,-54.0,90.0,top
R8,17.0,-54.0,90.0,top
R9,29.0,-54.0,90.0,top
RV1,95.0,-57.0,270.0,top
SW1,3.75,-62.75,0.0,top
SW2,3.5,-43.5,0.0,top
U1,43.0,-70.0,0.0,top
